code,code_suffix,market,index
000001,000001.SZ,SZ,hs300
000002,000002.SZ,SZ,hs300
000009,000009.SZ,SZ,zz500
000012,000012.SZ,SZ,zz1000
000021,000021.SZ,SZ,zz500
000027,000027.SZ,SZ,zz500
000028,000028.SZ,SZ,zz1000
000029,000029.SZ,SZ,zz1000
000030,000030.SZ,SZ,zz1000
000032,000032.SZ,SZ,zz500
000034,000034.SZ,SZ,zz500
000035,000035.SZ,SZ,zz1000
000039,000039.SZ,SZ,zz500
000048,000048.SZ,SZ,zz1000
000049,000049.SZ,SZ,zz1000
000050,000050.SZ,SZ,zz500
000058,000058.SZ,SZ,zz1000
000059,000059.SZ,SZ,zz1000
000060,000060.SZ,SZ,zz500
000061,000061.SZ,SZ,zz1000
000062,000062.SZ,SZ,zz500
000063,000063.SZ,SZ,hs300
000065,000065.SZ,SZ,zz1000
000088,000088.SZ,SZ,zz500
000089,000089.SZ,SZ,zz1000
000099,000099.SZ,SZ,zz1000
000100,000100.SZ,SZ,hs300
000155,000155.SZ,SZ,zz500
000156,000156.SZ,SZ,zz1000
000157,000157.SZ,SZ,hs300
000166,000166.SZ,SZ,hs300
000301,000301.SZ,SZ,hs300
000333,000333.SZ,SZ,hs300
000338,000338.SZ,SZ,hs300
000400,000400.SZ,SZ,zz500
000403,000403.SZ,SZ,zz1000
000408,000408.SZ,SZ,hs300
000415,000415.SZ,SZ,zz500
000420,000420.SZ,SZ,zz1000
000422,000422.SZ,SZ,zz1000
000423,000423.SZ,SZ,zz500
000425,000425.SZ,SZ,hs300
000429,000429.SZ,SZ,zz500
000498,000498.SZ,SZ,zz1000
000503,000503.SZ,SZ,zz1000
000506,000506.SZ,SZ,zz1000
000513,000513.SZ,SZ,zz500
000519,000519.SZ,SZ,zz500
000528,000528.SZ,SZ,zz500
000534,000534.SZ,SZ,zz1000
000537,000537.SZ,SZ,zz500
000538,000538.SZ,SZ,hs300
000539,000539.SZ,SZ,zz500
000543,000543.SZ,SZ,zz1000
000550,000550.SZ,SZ,zz1000
000552,000552.SZ,SZ,zz1000
000555,000555.SZ,SZ,zz1000
000559,000559.SZ,SZ,zz500
000563,000563.SZ,SZ,zz1000
000567,000567.SZ,SZ,zz1000
000568,000568.SZ,SZ,hs300
000581,000581.SZ,SZ,zz1000
000582,000582.SZ,SZ,zz500
000591,000591.SZ,SZ,zz500
000596,000596.SZ,SZ,hs300
000598,000598.SZ,SZ,zz500
000600,000600.SZ,SZ,zz1000
000603,000603.SZ,SZ,zz1000
000612,000612.SZ,SZ,zz1000
000617,000617.SZ,SZ,hs300
000620,000620.SZ,SZ,zz1000
000623,000623.SZ,SZ,zz500
000625,000625.SZ,SZ,hs300
000628,000628.SZ,SZ,zz1000
000629,000629.SZ,SZ,zz500
000630,000630.SZ,SZ,hs300
000636,000636.SZ,SZ,zz1000
000650,000650.SZ,SZ,zz1000
000651,000651.SZ,SZ,hs300
000657,000657.SZ,SZ,hs300
000661,000661.SZ,SZ,zz500
000672,000672.SZ,SZ,zz1000
000676,000676.SZ,SZ,zz1000
000680,000680.SZ,SZ,zz1000
000681,000681.SZ,SZ,zz1000
000682,000682.SZ,SZ,zz1000
000683,000683.SZ,SZ,zz500
000685,000685.SZ,SZ,zz1000
000686,000686.SZ,SZ,zz1000
000688,000688.SZ,SZ,zz1000
000690,000690.SZ,SZ,zz1000
000703,000703.SZ,SZ,zz500
000708,000708.SZ,SZ,hs300
000709,000709.SZ,SZ,zz500
000712,000712.SZ,SZ,zz1000
000719,000719.SZ,SZ,zz1000
000723,000723.SZ,SZ,zz500
000725,000725.SZ,SZ,hs300
000727,000727.SZ,SZ,zz1000
000728,000728.SZ,SZ,zz500
000729,000729.SZ,SZ,zz500
000733,000733.SZ,SZ,zz500
000737,000737.SZ,SZ,zz500
000738,000738.SZ,SZ,zz500
000739,000739.SZ,SZ,zz500
000750,000750.SZ,SZ,zz500
000758,000758.SZ,SZ,zz1000
000762,000762.SZ,SZ,zz1000
000766,000766.SZ,SZ,zz1000
000767,000767.SZ,SZ,zz1000
000768,000768.SZ,SZ,hs300
000776,000776.SZ,SZ,hs300
000778,000778.SZ,SZ,zz1000
000783,000783.SZ,SZ,zz500
000785,000785.SZ,SZ,zz500
000786,000786.SZ,SZ,zz500
000791,000791.SZ,SZ,zz1000
000792,000792.SZ,SZ,hs300
000795,000795.SZ,SZ,zz1000
000800,000800.SZ,SZ,zz500
000801,000801.SZ,SZ,zz1000
000807,000807.SZ,SZ,hs300
000810,000810.SZ,SZ,zz1000
000811,000811.SZ,SZ,zz1000
000813,000813.SZ,SZ,zz1000
000825,000825.SZ,SZ,zz500
000828,000828.SZ,SZ,zz1000
000829,000829.SZ,SZ,zz1000
000830,000830.SZ,SZ,zz500
000831,000831.SZ,SZ,zz500
000833,000833.SZ,SZ,zz1000
000837,000837.SZ,SZ,zz1000
000848,000848.SZ,SZ,zz1000
000858,000858.SZ,SZ,hs300
000860,000860.SZ,SZ,zz1000
000875,000875.SZ,SZ,zz1000
000878,000878.SZ,SZ,zz500
000880,000880.SZ,SZ,zz1000
000883,000883.SZ,SZ,zz500
000885,000885.SZ,SZ,zz1000
000887,000887.SZ,SZ,zz500
000893,000893.SZ,SZ,zz500
000895,000895.SZ,SZ,hs300
000898,000898.SZ,SZ,zz500
000899,000899.SZ,SZ,zz1000
000901,000901.SZ,SZ,zz1000
000902,000902.SZ,SZ,zz1000
000913,000913.SZ,SZ,zz1000
000917,000917.SZ,SZ,zz1000
000921,000921.SZ,SZ,zz500
000923,000923.SZ,SZ,zz1000
000927,000927.SZ,SZ,zz1000
000928,000928.SZ,SZ,zz1000
000930,000930.SZ,SZ,zz1000
000932,000932.SZ,SZ,zz500
000935,000935.SZ,SZ,zz1000
000937,000937.SZ,SZ,zz500
000938,000938.SZ,SZ,hs300
000950,000950.SZ,SZ,zz1000
000951,000951.SZ,SZ,zz500
000959,000959.SZ,SZ,zz500
000960,000960.SZ,SZ,zz500
000962,000962.SZ,SZ,zz1000
000963,000963.SZ,SZ,hs300
000966,000966.SZ,SZ,zz1000
000967,000967.SZ,SZ,zz500
000969,000969.SZ,SZ,zz1000
000970,000970.SZ,SZ,zz1000
000973,000973.SZ,SZ,zz1000
000975,000975.SZ,SZ,hs300
000977,000977.SZ,SZ,hs300
000983,000983.SZ,SZ,zz500
000987,000987.SZ,SZ,zz500
000988,000988.SZ,SZ,hs300
000990,000990.SZ,SZ,zz1000
000997,000997.SZ,SZ,zz500
000998,000998.SZ,SZ,zz1000
000999,000999.SZ,SZ,hs300
001203,001203.SZ,SZ,zz500
001221,001221.SZ,SZ,zz500
001227,001227.SZ,SZ,zz1000
001233,001233.SZ,SZ,zz1000
001236,001236.SZ,SZ,zz1000
001267,001267.SZ,SZ,zz1000
001280,001280.SZ,SZ,hs300
001286,001286.SZ,SZ,zz500
001287,001287.SZ,SZ,zz1000
001301,001301.SZ,SZ,zz1000
001309,001309.SZ,SZ,zz500
001337,001337.SZ,SZ,zz1000
001339,001339.SZ,SZ,zz1000
001359,001359.SZ,SZ,zz1000
001369,001369.SZ,SZ,zz1000
001382,001382.SZ,SZ,zz1000
001386,001386.SZ,SZ,zz500
001389,001389.SZ,SZ,zz500
001391,001391.SZ,SZ,hs300
001696,001696.SZ,SZ,zz500
001896,001896.SZ,SZ,zz1000
001914,001914.SZ,SZ,zz1000
001965,001965.SZ,SZ,hs300
001979,001979.SZ,SZ,hs300
002001,002001.SZ,SZ,hs300
002003,002003.SZ,SZ,zz1000
002004,002004.SZ,SZ,zz1000
002006,002006.SZ,SZ,zz1000
002007,002007.SZ,SZ,zz500
002008,002008.SZ,SZ,zz500
002010,002010.SZ,SZ,zz1000
002011,002011.SZ,SZ,zz1000
002015,002015.SZ,SZ,zz1000
002017,002017.SZ,SZ,zz1000
002019,002019.SZ,SZ,zz1000
002020,002020.SZ,SZ,zz1000
002023,002023.SZ,SZ,zz1000
002025,002025.SZ,SZ,zz500
